question_id,question,method,retrieved_ids,tokens_used,token_budget,top_score,answer_or_status
6,Do witnesses describe multiple objects or multiple lights?,tfidf,R35337 R61955 R14213 R79193 R76460 R70276 R19481 R10716 R13208 R64974 R30836 R38242 R24701 R72114 R6105 R65405 R75859 R42965 R13261 R29061 R38480 R21084 R1520 R70955 R55031 R23715 R8935 R42462 R71580 R45555 R88428,1477,1500,0.7554093599319458,"Les releves recuperes donnent des elements directs sur la question: le premier temoignage pertinent indique notamment ""Multiple lights in the sky."" [R14213], [R79193], [R19481]. Cette synthese reste limitee aux passages cites."
6,Do witnesses describe multiple objects or multiple lights?,naive,R302 R1330 R1520 R1562 R1763 R2014 R2618 R2714 R3175 R3399 R3434 R3840 R4167 R4220 R4261 R4538 R5093 R5195 R5498 R5593 R5797 R6105 R6125 R7037 R7490 R7722 R7868,1500,1500,2.0,"Les releves recuperes donnent des elements directs sur la question: le premier temoignage pertinent indique notamment ""Extremely fast multiple colored lights, constantly moving and stopping back to its place of origin. ((NUFORC Note: St..."" [R302], [R1330], [R1520]. Cette synthese reste limitee aux passages cites."
7,Which reports describe very long observations?,tfidf,R60291 R988 R85667 R22247 R222 R22643 R82220 R24980 R55042 R57493 R65148 R82526 R63458 R60710 R7114 R16397 R76430 R50215 R83904 R37406 R48430 R19772 R68956 R14340 R75482 R85781,1458,1500,0.512225866317749,"Les releves recuperes donnent des elements directs sur la question: le premier temoignage pertinent indique notamment ""2 seperate observations. Fairfield, CT"" [R988], [R85667], [R222]. Cette synthese reste limitee aux passages cites."
7,Which reports describe very long observations?,naive,R50 R219 R222 R432 R433 R592 R793 R850 R867 R933 R971 R988 R1065 R1074 R1136 R1377 R1528 R1621 R1701 R1908 R1984 R2144 R2197 R2274,1450,1500,1.0,"Les releves recuperes donnent des elements directs sur la question: le premier temoignage pertinent indique notamment ""i saw something one rainy night, and i'll never forget it as long as i live."" [R50], [R219], [R222]. Cette synthese reste limitee aux passages cites."
8,Which reports describe very short observations?,tfidf,R60291 R85667 R35855 R988 R63531 R53981 R22247 R222 R22643 R82220 R24980 R63480 R55042 R57493 R65148 R82526 R63458 R55249 R60710 R75149 R18306 R7114 R16397 R31935 R51684 R50215 R83904,1456,1500,0.48684433102607727,"Les releves recuperes donnent des elements directs sur la question: le premier temoignage pertinent indique notamment ""Four + hours of observation, four individual observations of short duration"" [R85667], [R35855], [R988]. Cette synthese reste limitee aux passages cites."
8,Which reports describe very short observations?,naive,R85667 R222 R349 R357 R808 R950 R988 R1289 R1321 R2328 R2840 R3444 R3779 R3806 R3976 R3984 R4012 R4169 R4274 R4294 R4500 R4882 R5997 R6031 R6713,1452,1500,2.0,"Les releves recuperes donnent des elements directs sur la question: le premier temoignage pertinent indique notamment ""Four + hours of observation, four individual observations of short duration"" [R85667], [R222], [R349]. Cette synthese reste limitee aux passages cites."
9,Are there reports of objects hovering or staying still?,tfidf,R60291 R80820 R48710 R30581 R86997 R69399 R70097 R37096 R21984 R28349 R38011 R45337 R20954 R12247 R54893 R46534 R63458 R26659 R80459 R79516 R70754 R75318 R52812 R48528 R42813 R22247 R71634 R3574 R53381 R6650,1480,1500,0.46898308396339417,"Les releves recuperes donnent des elements directs sur la question: le premier temoignage pertinent indique notamment ""Two objects hovering in Alexandria Virginia"" [R80820], [R48710], [R30581]. Cette synthese reste limitee aux passages cites."
9,Are there reports of objects hovering or staying still?,naive,R2637 R7 R73 R79 R83 R115 R136 R138 R198 R232 R248 R290 R331 R388 R451 R471 R483 R530 R532 R537 R567 R590 R623 R640 R645,1471,1500,2.0,"Les releves recuperes donnent des elements directs sur la question: le premier temoignage pertinent indique notamment ""A orange splatter shaped light hovering in one place for about 4 minutes, slightly moving around but staying in round..."" [R2637], [R7], [R73]. Cette synthese reste limitee aux passages cites."
10,Did witnesses report a smell of chocolate or vanilla near the objects?,tfidf,R82626 R40007 R30465 R73943 R34128 R37001 R52853 R57442 R81162 R63058 R7190 R67269 R68224 R82513 R19884 R17379 R73270 R68435 R21873 R53761 R86726 R37494 R57033 R84193 R14736 R60146 R57517 R39913 R54302,1472,1500,0.32554981112480164,Nous n'avons pas de releve suffisamment pertinent pour repondre a cette question.
10,Did witnesses report a smell of chocolate or vanilla near the objects?,naive,R10905 R19884 R21873 R22049 R73270 R73943 R83346 R86726 R0 R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R16,1483,1500,1.0,Nous n'avons pas de releve suffisamment pertinent pour repondre a cette question.
